epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,9600.16,0.68868,0.43685,0.88867,0.97566,0.9479,0.98439,0.62455,1.37486,0.46362,1.08054,0.00065055,0.00065055,0.00065055
83,9717.18,0.68352,0.43125,0.88535,0.96488,0.95896,0.98162,0.72999,0.98073,0.40405,0.95644,0.000643101,0.000643101,0.000643101
84,9834.22,0.66817,0.42078,0.88147,0.96992,0.96576,0.98695,0.74182,0.94068,0.35569,0.94711,0.000635617,0.000635617,0.000635617
85,9951.28,0.68716,0.42328,0.88435,0.97739,0.94739,0.97883,0.66591,1.21416,0.44109,1.02482,0.000628101,0.000628101,0.000628101
86,10068.7,0.68606,0.42622,0.88765,0.97907,0.94948,0.98169,0.69312,1.12416,0.4136,0.99597,0.000620555,0.000620555,0.000620555
87,10185.7,0.6673,0.42717,0.88038,0.97158,0.96277,0.98409,0.79324,0.79689,0.35173,0.92042,0.000612981,0.000612981,0.000612981
88,10302.4,0.67694,0.43206,0.88134,0.97303,0.9547,0.98533,0.7166,1.05299,0.39719,0.97464,0.00060538,0.00060538,0.00060538
89,10419.1,0.66251,0.42207,0.88164,0.98294,0.96003,0.98683,0.7314,1.01529,0.36989,0.9621,0.000597754,0.000597754,0.000597754
90,10536.2,0.67482,0.42086,0.88233,0.97108,0.95909,0.97867,0.71508,1.03263,0.40704,0.96773,0.000590105,0.000590105,0.000590105
91,10653.2,0.65663,0.41566,0.87973,0.98616,0.95859,0.98661,0.81253,0.74674,0.33168,0.90627,0.000582435,0.000582435,0.000582435
92,10770.5,0.66725,0.4175,0.88165,0.97458,0.96273,0.98565,0.82139,0.7063,0.3269,0.90126,0.000574746,0.000574746,0.000574746
93,10887.4,0.65781,0.41252,0.87596,0.98637,0.96302,0.98893,0.77185,0.88627,0.34029,0.93153,0.00056704,0.00056704,0.00056704
94,11004.2,0.65965,0.4141,0.87696,0.98056,0.95259,0.98325,0.67779,1.19319,0.41595,1.01197,0.000559318,0.000559318,0.000559318
95,11120.8,0.66966,0.41407,0.88124,0.97389,0.96765,0.98606,0.77566,0.86058,0.34677,0.9279,0.000551584,0.000551584,0.000551584
96,11237.3,0.65869,0.41105,0.87907,0.97684,0.9602,0.98282,0.78121,0.82067,0.35962,0.92838,0.000543837,0.000543837,0.000543837
97,11354.3,0.64326,0.40766,0.87734,0.98263,0.9575,0.98651,0.75882,0.92807,0.35286,0.94589,0.000536081,0.000536081,0.000536081
98,11471.3,0.6452,0.40612,0.87666,0.97894,0.95954,0.98708,0.75873,0.92973,0.36402,0.94693,0.000528318,0.000528318,0.000528318
99,11588.4,0.63963,0.41305,0.87489,0.98144,0.9675,0.98877,0.7629,0.92912,0.34323,0.95021,0.000520548,0.000520548,0.000520548
100,11705.4,0.63574,0.40109,0.8728,0.98166,0.95662,0.98576,0.73301,1.02257,0.37976,0.97656,0.000512775,0.000512775,0.000512775
101,11822.1,0.63677,0.39473,0.87252,0.98621,0.96229,0.98689,0.78336,0.84167,0.34378,0.92372,0.000505,0.000505,0.000505
102,11939.5,0.63012,0.40092,0.87244,0.98322,0.95992,0.98716,0.75655,0.93895,0.36338,0.95074,0.000497225,0.000497225,0.000497225
