epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,3959.18,1.02242,0.7574,0.97294,0.97029,0.9602,0.98759,0.55171,1.59291,0.52824,1.15729,0.000814495,0.000814495,0.000814495
59,4027.22,1.03279,0.77745,0.97776,0.95855,0.94742,0.97582,0.4769,1.86119,0.64442,1.48161,0.000808389,0.000808389,0.000808389
60,4095.3,1.01986,0.76149,0.9719,0.97268,0.95735,0.98347,0.62762,1.3622,0.4863,1.15559,0.000802208,0.000802208,0.000802208
61,4163.41,1.0186,0.76993,0.97432,0.96954,0.94855,0.97954,0.51559,1.78296,0.6191,1.44925,0.000795954,0.000795954,0.000795954
62,4231.61,1.02617,0.75548,0.9745,0.979,0.95903,0.98423,0.52653,1.72818,0.57723,1.37348,0.000789628,0.000789628,0.000789628
63,4299.86,1.01421,0.7504,0.96702,0.97822,0.94854,0.98177,0.52191,1.75008,0.57065,1.40258,0.000783231,0.000783231,0.000783231
64,4367.93,1.03738,0.75785,0.97572,0.98277,0.95895,0.9856,0.70011,1.11243,0.42158,0.99121,0.000776766,0.000776766,0.000776766
65,4436.1,0.99836,0.73069,0.96641,0.98559,0.95823,0.98762,0.71773,0.95498,0.39111,0.95102,0.000770234,0.000770234,0.000770234
66,4504.17,0.9771,0.71362,0.96419,0.97277,0.95997,0.98543,0.54855,1.6372,0.55009,1.34644,0.000763637,0.000763637,0.000763637
67,4572.45,0.9996,0.73197,0.96865,0.97497,0.95975,0.9883,0.63313,1.38472,0.48232,1.18091,0.000756976,0.000756976,0.000756976
68,4640.78,0.99308,0.72435,0.95894,0.96666,0.96015,0.98486,0.59645,1.45824,0.49676,1.09997,0.000750252,0.000750252,0.000750252
69,4708.87,0.99391,0.71269,0.9584,0.96676,0.95613,0.98101,0.47738,1.90375,0.63002,1.53244,0.000743468,0.000743468,0.000743468
70,4777.1,0.96533,0.70056,0.95545,0.97422,0.96329,0.98393,0.61985,1.39585,0.54164,1.17306,0.000736625,0.000736625,0.000736625
71,4845.64,0.98827,0.72725,0.96428,0.96775,0.96341,0.98487,0.59555,1.48567,0.53186,1.22309,0.000729725,0.000729725,0.000729725
72,4913.88,0.9612,0.69869,0.9551,0.98036,0.95993,0.9896,0.79251,0.78517,0.35006,0.91337,0.00072277,0.00072277,0.00072277
73,4982.36,0.96779,0.71325,0.95711,0.97364,0.96758,0.98764,0.71418,1.07241,0.41529,0.97836,0.000715761,0.000715761,0.000715761
74,5050.39,0.96684,0.70893,0.95877,0.97473,0.95474,0.98666,0.60375,1.4606,0.50889,1.20646,0.0007087,0.0007087,0.0007087
75,5118.55,0.95624,0.70376,0.95538,0.98189,0.95527,0.9893,0.75592,0.896,0.37053,0.93789,0.000701588,0.000701588,0.000701588
76,5186.81,0.96237,0.70073,0.95147,0.9757,0.93875,0.98305,0.49706,1.8284,0.61973,1.50632,0.000694428,0.000694428,0.000694428
77,5255.59,0.92171,0.67196,0.94198,0.98168,0.9653,0.98828,0.71339,1.0661,0.40118,1.01448,0.000687222,0.000687222,0.000687222
78,5323.85,0.94854,0.69682,0.94862,0.97068,0.96886,0.98871,0.65647,1.26622,0.4424,1.10755,0.00067997,0.00067997,0.00067997
79,5392.22,0.91502,0.66528,0.94289,0.95928,0.9417,0.97608,0.4336,2.02978,0.7216,1.64457,0.000672675,0.000672675,0.000672675
80,5460.37,0.91669,0.66912,0.93997,0.98254,0.97211,0.98892,0.77402,0.85128,0.34883,0.92864,0.000665339,0.000665339,0.000665339
81,5528.54,0.92653,0.67432,0.94242,0.98656,0.9746,0.99039,0.72631,1.02104,0.37232,0.99346,0.000657963,0.000657963,0.000657963
82,5596.76,0.92995,0.65784,0.94062,0.98128,0.96681,0.98763,0.7167,1.06831,0.40215,1.01218,0.00065055,0.00065055,0.00065055
83,5664.93,0.91803,0.65694,0.93427,0.98777,0.96362,0.99023,0.74626,0.93898,0.36993,0.94977,0.000643101,0.000643101,0.000643101
84,5732.95,0.91181,0.65258,0.93839,0.97185,0.97564,0.99052,0.69939,1.12505,0.40531,1.03759,0.000635617,0.000635617,0.000635617
85,5800.98,0.90621,0.65649,0.93468,0.98276,0.96622,0.98684,0.61836,1.41295,0.47931,1.10335,0.000628101,0.000628101,0.000628101
86,5868.88,0.89863,0.6401,0.93565,0.97063,0.96135,0.98383,0.47675,1.88803,0.6209,1.52168,0.000620555,0.000620555,0.000620555
87,5936.79,0.91434,0.65359,0.93822,0.98383,0.96335,0.98931,0.75939,0.89368,0.36004,0.93626,0.000612981,0.000612981,0.000612981
88,6004.88,0.92178,0.64368,0.93473,0.97257,0.96043,0.98416,0.43541,1.97645,0.65285,1.62125,0.00060538,0.00060538,0.00060538
89,6073.19,0.89647,0.63818,0.9312,0.97956,0.97053,0.98914,0.59547,1.52458,0.48879,1.14177,0.000597754,0.000597754,0.000597754
90,6141.39,0.88945,0.63144,0.92811,0.98219,0.96888,0.98984,0.66288,1.26583,0.4463,1.12118,0.000590105,0.000590105,0.000590105
91,6209.44,0.89663,0.63752,0.93651,0.97513,0.96422,0.98497,0.54926,1.66189,0.54656,1.36491,0.000582435,0.000582435,0.000582435
